
libgomp: Invalid value for enviroment variable GOMP_CPU_AFFINITY

info: running 4 threads
information: do warmup.
# index iter.:   frame hex       dec.   increment; drop:         drop      ,  index drops
#           0: 01 db 2b 37   31140663    31140663
#        2150: 01 db 33 9e   31142814           2; drop:            1 drops,            1 index drops
#        2334: 01 db 34 57   31142999           2; drop:            2 drops,            2 index drops
#       13009: 01 db 5e 0b   31153675           2; drop:            3 drops,            3 index drops
#       13193: 01 db 5e c4   31153860           2; drop:            4 drops,            4 index drops
#       23868: 01 db 88 78   31164536           2; drop:            5 drops,            5 index drops
#       24052: 01 db 89 31   31164721           2; drop:            6 drops,            6 index drops
#       34912: 01 db b3 9e   31175582           2; drop:            7 drops,            7 index drops
#       35096: 01 db b4 57   31175767           2; drop:            8 drops,            8 index drops
information: i=44099, received=44100, dt=3000ms, rate=114.844MB/s.
#       45771: 01 db de 0b   31186443           2; drop:            9 drops,            9 index drops
#       45955: 01 db de c4   31186628           2; drop:           10 drops,           10 index drops
#       56630: 01 dc 08 78   31197304           2; drop:           11 drops,           11 index drops
#       56814: 01 dc 09 31   31197489           2; drop:           12 drops,           12 index drops
#       67674: 01 dc 33 9e   31208350           2; drop:           13 drops,           13 index drops
#       67858: 01 dc 34 57   31208535           2; drop:           14 drops,           14 index drops
#       78533: 01 dc 5e 0b   31219211           2; drop:           15 drops,           15 index drops
#       78717: 01 dc 5e c4   31219396           2; drop:           16 drops,           16 index drops
information: i=88201, received=44102, dt=3000ms, rate=114.849MB/s.
#       89392: 01 dc 88 78   31230072           2; drop:           17 drops,           17 index drops
#       89576: 01 dc 89 31   31230257           2; drop:           18 drops,           18 index drops
#      100436: 01 dc b3 9e   31241118           2; drop:           19 drops,           19 index drops
#      100620: 01 dc b4 57   31241303           2; drop:           20 drops,           20 index drops
#      111295: 01 dc de 0b   31251979           2; drop:           21 drops,           21 index drops
#      111479: 01 dc de c4   31252164           2; drop:           22 drops,           22 index drops
#      122154: 01 dd 08 78   31262840           2; drop:           23 drops,           23 index drops
#      122338: 01 dd 09 31   31263025           2; drop:           24 drops,           24 index drops
information: i=132302, received=44101, dt=3000ms, rate=114.846MB/s.
#      133198: 01 dd 33 9e   31273886           2; drop:           25 drops,           25 index drops
#      133382: 01 dd 34 57   31274071           2; drop:           26 drops,           26 index drops
#      144057: 01 dd 5e 0b   31284747           2; drop:           27 drops,           27 index drops
#      144241: 01 dd 5e c4   31284932           2; drop:           28 drops,           28 index drops
#      154916: 01 dd 88 78   31295608           2; drop:           29 drops,           29 index drops
#      155100: 01 dd 89 31   31295793           2; drop:           30 drops,           30 index drops
#      165960: 01 dd b3 9e   31306654           2; drop:           31 drops,           31 index drops
#      166144: 01 dd b4 57   31306839           2; drop:           32 drops,           32 index drops
information: i=176404, received=44102, dt=3000ms, rate=114.849MB/s.
#      176819: 01 dd de 0b   31317515           2; drop:           33 drops,           33 index drops
#      177003: 01 dd de c4   31317700           2; drop:           34 drops,           34 index drops
#      187678: 01 de 08 78   31328376           2; drop:           35 drops,           35 index drops
#      187862: 01 de 09 31   31328561           2; drop:           36 drops,           36 index drops
#      198722: 01 de 33 9e   31339422           2; drop:           37 drops,           37 index drops
#      198906: 01 de 34 57   31339607           2; drop:           38 drops,           38 index drops
#      209581: 01 de 5e 0b   31350283           2; drop:           39 drops,           39 index drops
#      209765: 01 de 5e c4   31350468           2; drop:           40 drops,           40 index drops
#      220440: 01 de 88 78   31361144           2; drop:           41 drops,           41 index drops
information: i=220504, received=44100, dt=3000ms, rate=114.844MB/s.
#      220624: 01 de 89 31   31361329           2; drop:           42 drops,           42 index drops
#      231484: 01 de b3 9e   31372190           2; drop:           43 drops,           43 index drops
#      231668: 01 de b4 57   31372375           2; drop:           44 drops,           44 index drops
#      242343: 01 de de 0b   31383051           2; drop:           45 drops,           45 index drops
#      242527: 01 de de c4   31383236           2; drop:           46 drops,           46 index drops
#      253202: 01 df 08 78   31393912           2; drop:           47 drops,           47 index drops
#      253386: 01 df 09 31   31394097           2; drop:           48 drops,           48 index drops
#      264246: 01 df 33 9e   31404958           2; drop:           49 drops,           49 index drops
#      264430: 01 df 34 57   31405143           2; drop:           50 drops,           50 index drops
information: i=264605, received=44101, dt=3000ms, rate=114.846MB/s.
#      275105: 01 df 5e 0b   31415819           2; drop:           51 drops,           51 index drops
#      275289: 01 df 5e c4   31416004           2; drop:           52 drops,           52 index drops
#      285964: 01 df 88 78   31426680           2; drop:           53 drops,           53 index drops
#      286148: 01 df 89 31   31426865           2; drop:           54 drops,           54 index drops
#      297008: 01 df b3 9e   31437726           2; drop:           55 drops,           55 index drops
#      297192: 01 df b4 57   31437911           2; drop:           56 drops,           56 index drops
#      307867: 01 df de 0b   31448587           2; drop:           57 drops,           57 index drops
#      308051: 01 df de c4   31448772           2; drop:           58 drops,           58 index drops
information: i=308706, received=44101, dt=3001ms, rate=114.808MB/s.
#      318726: 01 e0 08 78   31459448           2; drop:           59 drops,           59 index drops
#      318910: 01 e0 09 31   31459633           2; drop:           60 drops,           60 index drops
#      329770: 01 e0 33 9e   31470494           2; drop:           61 drops,           61 index drops
#      329954: 01 e0 34 57   31470679           2; drop:           62 drops,           62 index drops
#      340629: 01 e0 5e 0b   31481355           2; drop:           63 drops,           63 index drops
#      340813: 01 e0 5e c4   31481540           2; drop:           64 drops,           64 index drops
#      351488: 01 e0 88 78   31492216           2; drop:           65 drops,           65 index drops
#      351672: 01 e0 89 31   31492401           2; drop:           66 drops,           66 index drops
information: i=352807, received=44101, dt=3000ms, rate=114.846MB/s.
#      362532: 01 e0 b3 9e   31503262           2; drop:           67 drops,           67 index drops
#      362716: 01 e0 b4 57   31503447           2; drop:           68 drops,           68 index drops
#      373391: 01 e0 de 0b   31514123           2; drop:           69 drops,           69 index drops
#      373575: 01 e0 de c4   31514308           2; drop:           70 drops,           70 index drops
#      384250: 01 e1 08 78   31524984           2; drop:           71 drops,           71 index drops
#      384434: 01 e1 09 31   31525169           2; drop:           72 drops,           72 index drops
#      395294: 01 e1 33 9e   31536030           2; drop:           73 drops,           73 index drops
#      395478: 01 e1 34 57   31536215           2; drop:           74 drops,           74 index drops
information: i=396909, received=44102, dt=3000ms, rate=114.849MB/s.
#      406153: 01 e1 5e 0b   31546891           2; drop:           75 drops,           75 index drops
#      406337: 01 e1 5e c4   31547076           2; drop:           76 drops,           76 index drops
#      417012: 01 e1 88 78   31557752           2; drop:           77 drops,           77 index drops
#      417196: 01 e1 89 31   31557937           2; drop:           78 drops,           78 index drops
#      428056: 01 e1 b3 9e   31568798           2; drop:           79 drops,           79 index drops
#      428240: 01 e1 b4 57   31568983           2; drop:           80 drops,           80 index drops
#      438915: 01 e1 de 0b   31579659           2; drop:           81 drops,           81 index drops
#      439099: 01 e1 de c4   31579844           2; drop:           82 drops,           82 index drops
information: i=441010, received=44101, dt=3000ms, rate=114.846MB/s.
#      449774: 01 e2 08 78   31590520           2; drop:           83 drops,           83 index drops
#      449958: 01 e2 09 31   31590705           2; drop:           84 drops,           84 index drops
#      460818: 01 e2 33 9e   31601566           2; drop:           85 drops,           85 index drops
#      461002: 01 e2 34 57   31601751           2; drop:           86 drops,           86 index drops
#      471677: 01 e2 5e 0b   31612427           2; drop:           87 drops,           87 index drops
#      471861: 01 e2 5e c4   31612612           2; drop:           88 drops,           88 index drops
#      482536: 01 e2 88 78   31623288           2; drop:           89 drops,           89 index drops
#      482720: 01 e2 89 31   31623473           2; drop:           90 drops,           90 index drops
information: i=485111, received=44101, dt=3000ms, rate=114.846MB/s.
#      493580: 01 e2 b3 9e   31634334           2; drop:           91 drops,           91 index drops
#      493764: 01 e2 b4 57   31634519           2; drop:           92 drops,           92 index drops
#      504439: 01 e2 de 0b   31645195           2; drop:           93 drops,           93 index drops
#      504623: 01 e2 de c4   31645380           2; drop:           94 drops,           94 index drops
#      515298: 01 e3 08 78   31656056           2; drop:           95 drops,           95 index drops
#      515482: 01 e3 09 31   31656241           2; drop:           96 drops,           96 index drops
#      526342: 01 e3 33 9e   31667102           2; drop:           97 drops,           97 index drops
#      526526: 01 e3 34 57   31667287           2; drop:           98 drops,           98 index drops
information: i=529213, received=44102, dt=3000ms, rate=114.849MB/s.
#      537201: 01 e3 5e 0b   31677963           2; drop:           99 drops,           99 index drops
#      537385: 01 e3 5e c4   31678148           2; drop:          100 drops,          100 index drops
#      548060: 01 e3 88 78   31688824           2; drop:          101 drops,          101 index drops
#      548244: 01 e3 89 31   31689009           2; drop:          102 drops,          102 index drops
#      559104: 01 e3 b3 9e   31699870           2; drop:          103 drops,          103 index drops
#      559288: 01 e3 b4 57   31700055           2; drop:          104 drops,          104 index drops
#      569963: 01 e3 de 0b   31710731           2; drop:          105 drops,          105 index drops
#      570147: 01 e3 de c4   31710916           2; drop:          106 drops,          106 index drops
information: i=573314, received=44101, dt=3000ms, rate=114.846MB/s.
#      580822: 01 e4 08 78   31721592           2; drop:          107 drops,          107 index drops
#      581006: 01 e4 09 31   31721777           2; drop:          108 drops,          108 index drops
#      591866: 01 e4 33 9e   31732638           2; drop:          109 drops,          109 index drops
#      592050: 01 e4 34 57   31732823           2; drop:          110 drops,          110 index drops
#      602725: 01 e4 5e 0b   31743499           2; drop:          111 drops,          111 index drops
#      602909: 01 e4 5e c4   31743684           2; drop:          112 drops,          112 index drops
#      613584: 01 e4 88 78   31754360           2; drop:          113 drops,          113 index drops
#      613768: 01 e4 89 31   31754545           2; drop:          114 drops,          114 index drops
information: i=617416, received=44102, dt=3000ms, rate=114.849MB/s.
#      624628: 01 e4 b3 9e   31765406           2; drop:          115 drops,          115 index drops
#      624812: 01 e4 b4 57   31765591           2; drop:          116 drops,          116 index drops
#      635487: 01 e4 de 0b   31776267           2; drop:          117 drops,          117 index drops
#      635671: 01 e4 de c4   31776452           2; drop:          118 drops,          118 index drops
#      646346: 01 e5 08 78   31787128           2; drop:          119 drops,          119 index drops
#      646530: 01 e5 09 31   31787313           2; drop:          120 drops,          120 index drops
#      657390: 01 e5 33 9e   31798174           2; drop:          121 drops,          121 index drops
#      657574: 01 e5 34 57   31798359           2; drop:          122 drops,          122 index drops
information: i=661517, received=44101, dt=3001ms, rate=114.808MB/s.
#      668249: 01 e5 5e 0b   31809035           2; drop:          123 drops,          123 index drops
#      668433: 01 e5 5e c4   31809220           2; drop:          124 drops,          124 index drops
#      679108: 01 e5 88 78   31819896           2; drop:          125 drops,          125 index drops
#      679292: 01 e5 89 31   31820081           2; drop:          126 drops,          126 index drops
#      690152: 01 e5 b3 9e   31830942           2; drop:          127 drops,          127 index drops
#      690336: 01 e5 b4 57   31831127           2; drop:          128 drops,          128 index drops
#      701011: 01 e5 de 0b   31841803           2; drop:          129 drops,          129 index drops
#      701195: 01 e5 de c4   31841988           2; drop:          130 drops,          130 index drops
information: i=705618, received=44101, dt=3000ms, rate=114.846MB/s.
#      711870: 01 e6 08 78   31852664           2; drop:          131 drops,          131 index drops
#      712054: 01 e6 09 31   31852849           2; drop:          132 drops,          132 index drops
#      722914: 01 e6 33 9e   31863710           2; drop:          133 drops,          133 index drops
#      723098: 01 e6 34 57   31863895           2; drop:          134 drops,          134 index drops
#      733773: 01 e6 5e 0b   31874571           2; drop:          135 drops,          135 index drops
#      733957: 01 e6 5e c4   31874756           2; drop:          136 drops,          136 index drops
#      744632: 01 e6 88 78   31885432           2; drop:          137 drops,          137 index drops
#      744816: 01 e6 89 31   31885617           2; drop:          138 drops,          138 index drops
information: i=749719, received=44101, dt=3000ms, rate=114.846MB/s.
#      755676: 01 e6 b3 9e   31896478           2; drop:          139 drops,          139 index drops
#      755860: 01 e6 b4 57   31896663           2; drop:          140 drops,          140 index drops
#      766535: 01 e6 de 0b   31907339           2; drop:          141 drops,          141 index drops
#      766719: 01 e6 de c4   31907524           2; drop:          142 drops,          142 index drops
